Well_ID,Depth (ft),Temp (degC),Field
42013301930000,10700,132.778,Eaglebine
42041305800000,7360,82.77777778,Eaglebine
42041311700000,7828,118.8888889,Eaglebine
42041311980000,7954,105,Eaglebine
42051305380000,8380,111.1111111,Eaglebine
42051309360000,8164,117.0555556,Eaglebine
42123309360000,14397,140,Eaglebine
42123309750000,14560,176.3333333,Eaglebine
42161304400000,15170,175.5555556,Eaglebine
42177308340000,6560,91.11111111,Eaglebine
42123303590000,14600,55.0617284,Eaglebine
42025304380000,14000,65.55555556,Eaglebine
42177309100000,6100,79.44444444,Eaglebine
42289313210000,8850,127.7777778,Eaglebine
42289315440000,15818,182.2222222,Eaglebine
42395302890000,7692,109.4444444,Eaglebine
42477305280000,13329,165.5555556,Eaglebine
42507326870000,4016,78.88888889,Eaglebine
42013326640000,10900,138.6111111,Eaglebine
100061706804W600,10850,104.4444444,Duvernay
100071406220W500,9616,90.55555556,Duvernay
100081504804W500,,60,Duvernay
100101606419W500,4500,76.66666667,Duvernay
100101706419W500,4000,61.66666667,Duvernay
100102606619W500,9000,107.2222222,Duvernay
100103206321W500,6758.53,84.7,Duvernay
100103406419W500,9720,97.38888889,Duvernay
100103604301W500,3460,42.22222222,Duvernay
100113306020W500,7800,98.88888889,Duvernay
100120906419W500,9930,111.8333333,Duvernay
100123506118W500,1587,63,Duvernay
100123506419W500,9592,109.1111111,Duvernay
100141006601W600,2612,78.05555556,Duvernay
100160106122W500,2625,90,Duvernay
100161506319W500,3075,122,Duvernay
102061504716W500,3200,105,Duvernay
100022706319W500,10087,117.6111111,Duvernay
100022806419W500,9663,111.0555556,Duvernay
100050506418W500,8300,92.77777778,Duvernay
100060905918W500,3425,95,Duvernay
100061305216W500,12063.648,117,Duvernay
